OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
-10,1000,47.5,108,123,140,4
-10,1250,59.3,116,126,142,4
-10,1500,65.6,124,134,147,4
-10,1750,70.6,131,140,151,4
-10,2000,75.2,137,145,155,4
-10,2250,79.23,143,150,158,4
-10,2500,79.25,143,150,158,7
-10,2750,79.25,143,150,158,7
-10,3000,79.25,143,150,158,7
-10,3250,79.25,143,150,158,7
-10,3500,79.25,143,150,158,7
0,1250,58.0,114,125,141,4
0,1500,64.3,122,132,146,4
0,1750,69.6,129,139,150,4
0,2000,74.1,136,144,154,4
0,2250,78.1,141,149,157,4
0,2500,79.25,143,150,158,7
0,2750,79.25,143,150,158,7
0,3000,79.25,143,150,158,7
0,3250,79.25,143,150,158,7
0,3500,79.25,143,150,158,7
10,1250,56.9,112,125,141,4
10,1500,63.3,121,131,145,4
10,1750,68.5,128,137,149,4
10,2000,73.0,134,143,153,4
10,2250,77.0,139,147,156,4
10,2500,79.25,143,150,158,7
10,2750,79.25,143,150,158,7
10,3000,79.25,143,150,158,7
10,3250,79.25,143,150,158,7
10,3500,79.25,143,150,158,7
20,1250,55.6,111,124,140,4
20,1500,62.2,119,130,144,4
20,1750,67.5,126,137,149,4
20,2000,72.0,132,143,152,4
20,2250,76.0,138,147,156,4
20,2500,79.25,142,150,158,7
20,2750,79.25,142,150,158,7
20,3000,79.25,142,150,158,7
20,3250,79.25,142,150,158,7
20,3500,79.25,142,150,158,7
25,1250,55.0,110,124,140,4
25,1500,61.8,118,129,144,4
25,1750,67.0,125,135,148,4
25,2000,71.6,131,141,152,4
25,2250,75.5,137,146,155,4
25,2500,79.1,142,150,158,4
25,2750,79.25,142,150,158,7
25,3000,79.25,142,150,158,7
25,3250,79.25,142,150,158,7
25,3500,79.25,142,150,158,7
30,1250,53.5,109,123,140,4
30,1500,60.6,117,128,143,4
30,1750,66.0,125,134,147,4
30,2000,70.6,130,140,151,4
30,2250,74.4,136,144,154,4
30,2500,77.9,141,148,157,4
30,2750,79.25,143,150,158,7
30,3000,79.25,143,150,158,7
30,3250,79.25,143,150,158,7
30,3500,79.25,143,150,158,7
35,1250,50.3,109,123,140,4
35,1500,58.8,116,126,142,4
35,1750,64.1,123,132,146,4
35,2000,68.4,129,137,149,4
35,2250,72.3,134,142,153,4
35,2500,75.8,140,146,155,4
35,2750,78.9,144,150,158,4
35,3000,79.25,145,150,158,7
35,3250,79.25,145,150,158,7
35,3500,79.25,145,150,158,7
40,1000,47.2,108,123,140,4
40,1250,56.9,115,125,141,4
40,1500,62.1,121,130,144,4
40,2000,66.5,128,135,148,4
40,2250,70.2,133,139,151,4
40,2500,73.5,138,143,154,4
40,2750,76.5,142,147,156,4
40,3000,79.25,147,150,158,7
40,3250,79.25,147,150,158,7
40,3500,79.25,147,150,158,7
