OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
-10,1000,50.4,108,123,140,4
-10,1250,61.2,117,128,143,4
-10,1500,67.2,126,136,148,4
-10,1750,72.4,133,142,153,4
-10,2000,77.0,139,147,156,4
-10,2250,79.25,143,150,158,7
-10,2500,79.25,143,150,158,7
-10,2750,79.25,143,150,158,7
-10,3000,79.25,143,150,158,7
-10,3250,79.25,143,150,158,7
-10,3500,79.25,143,150,158,7
0,1000,48.0,108,123,140,4
0,1250,59.8,115,127,142,4
0,1500,66.1,124,134,147,4
0,1750,71.3,131,141,152,4
0,2000,76.0,138,146,156,4
0,2250,79.25,142,150,158,7
0,2500,79.25,142,150,158,7
0,2750,79.25,142,150,158,7
0,3000,79.25,142,150,158,7
0,3250,79.25,142,150,158,7
0,3500,79.25,142,150,158,7
10,1250,58.7,114,125,142,4
10,1500,65.1,123,133,147,4
10,1750,70.4,130,142,151,4
10,2000,74.9,136,145,155,4
10,2250,79.25,142,150,158,7
10,2500,79.25,142,150,158,7
10,2750,79.25,142,150,158,7
10,3000,79.25,142,150,158,7
10,3250,79.25,142,150,158,7
10,3500,79.25,142,150,158,7
20,1250,57.5,113,125,141,4
20,1500,64.1,121,132,146,4
20,1750,69.4,128,138,150,4
20,2000,73.9,134,144,154,4
20,2250,77.9,140,148,157,4
20,2500,79.25,142,150,158,7
20,2750,79.25,142,150,158,7
20,3000,79.25,142,150,158,7
20,3250,79.25,142,150,158,7
20,3500,79.25,142,150,158,7
25,1000,56.8,112,125,141,4
25,1250,63.5,120,131,145,4
25,1500,68.8,127,138,149,4
25,1750,73.4,133,143,153,4
25,2000,77.4,139,143,153,4
25,2250,77.4,139,148,157,4
25,2500,79.25,142,150,158,7
25,2750,79.25,142,150,158,7
25,3000,79.25,142,150,158,7
25,3250,79.25,142,150,158,7
25,3500,79.25,142,150,158,7
30,1000,56.2,111,125,141,4
30,1250,63.0,119,131,145,4
30,1500,68.3,127,137,149,4
30,1750,72.9,133,142,153,4
30,2000,76.9,138,147,156,4
30,2250,76.9,138,147,156,4
30,2500,79.25,142,150,158,7
30,2750,79.25,142,150,158,7
30,3000,79.25,142,150,158,7
30,3250,79.25,142,150,158,7
30,3500,79.25,142,150,158,7
35,1000,54.1,110,124,140,4
35,1250,61.3,118,129,143,4
35,1500,66.4,125,135,148,4
35,1750,70.9,131,140,151,4
35,2000,74.8,137,145,155,4
35,2250,74.8,137,145,155,4
35,2500,79.25,142,149,158,7
35,2750,79.25,143,150,158,7
35,3000,79.25,143,150,158,7
35,3250,79.25,143,150,158,7
35,3500,79.25,143,150,158,7
40,1000,51.2,109,123,140,4
40,1250,59.3,117,127,142,4
40,1500,64.5,124,132,146,4
40,1750,68.8,130,138,150,4
40,2000,72.6,135,142,153,4
40,2250,72.6,135,142,153,4
40,2500,76.1,140,146,156,4
40,2750,79.2,145,150,156,7
40,3000,79.25,145,150,158,7
40,3250,79.25,145,150,158,7
40,3500,79.25,145,150,158,7
