OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
-10.0,1000,47.5,108,123,140,4
-10.0,1250,59.3,116,126,142,4
-10.0,1500,65.6,124,134,147,4
-10.0,1750,70.6,131,140,151,4
-10.0,2000,75.2,137,145,155,4
-10.0,2250,79.23,143,150,158,4
-10.0,2500,79.25,143,150,158,7
-10.0,2750,79.25,143,150,158,7
-10.0,3000,79.25,143,150,158,7
-10.0,3250,79.25,143,150,158,7
-10.0,3500,79.25,143,150,158,7
-9.0,1000,47.49,108,123,140,4
-9.0,1250,59.17,116,126,142,4
-9.0,1500,65.47,124,134,147,4
-9.0,1750,70.5,131,140,151,4
-9.0,2000,75.09,137,145,155,4
-9.0,2250,79.12,143,150,158,4
-9.0,2500,79.25,143,150,158,7
-9.0,2750,79.25,143,150,158,7
-9.0,3000,79.25,143,150,158,7
-9.0,3250,79.25,143,150,158,7
-9.0,3500,79.25,143,150,158,7
-8.0,1000,47.49,108,123,140,4
-8.0,1250,59.04,116,126,142,4
-8.0,1500,65.34,124,134,147,4
-8.0,1750,70.4,131,140,151,4
-8.0,2000,74.98,137,145,155,4
-8.0,2250,79.0,143,150,158,4
-8.0,2500,79.25,143,150,158,7
-8.0,2750,79.25,143,150,158,7
-8.0,3000,79.25,143,150,158,7
-8.0,3250,79.25,143,150,158,7
-8.0,3500,79.25,143,150,158,7
-7.0,1000,47.48,108,123,140,4
-7.0,1250,58.91,115,126,142,4
-7.0,1500,65.21,123,133,147,4
-7.0,1750,70.3,130,140,151,4
-7.0,2000,74.87,137,145,155,4
-7.0,2250,78.89,142,150,158,4
-7.0,2500,79.25,143,150,158,7
-7.0,2750,79.25,143,150,158,7
-7.0,3000,79.25,143,150,158,7
-7.0,3250,79.25,143,150,158,7
-7.0,3500,79.25,143,150,158,7
-6.0,1000,47.48,108,123,140,4
-6.0,1250,58.78,115,126,142,4
-6.0,1500,65.08,123,133,147,4
-6.0,1750,70.2,130,140,151,4
-6.0,2000,74.76,137,145,155,4
-6.0,2250,78.78,142,150,158,4
-6.0,2500,79.25,143,150,158,7
-6.0,2750,79.25,143,150,158,7
-6.0,3000,79.25,143,150,158,7
-6.0,3250,79.25,143,150,158,7
-6.0,3500,79.25,143,150,158,7
-5.0,1000,47.47,108,123,140,4
-5.0,1250,58.65,115,126,142,4
-5.0,1500,64.95,123,133,146,4
-5.0,1750,70.1,130,140,150,4
-5.0,2000,74.65,136,144,154,4
-5.0,2250,78.66,142,150,158,4
-5.0,2500,79.25,143,150,158,7
-5.0,2750,79.25,143,150,158,7
-5.0,3000,79.25,143,150,158,7
-5.0,3250,79.25,143,150,158,7
-5.0,3500,79.25,143,150,158,7
-4.0,1000,47.46,108,123,140,4
-4.0,1250,58.52,115,125,141,4
-4.0,1500,64.82,123,133,146,4
-4.0,1750,70.0,130,139,150,4
-4.0,2000,74.54,136,144,154,4
-4.0,2250,78.55,142,149,157,4
-4.0,2500,79.25,143,150,158,7
-4.0,2750,79.25,143,150,158,7
-4.0,3000,79.25,143,150,158,7
-4.0,3250,79.25,143,150,158,7
-4.0,3500,79.25,143,150,158,7
-3.0,1000,47.46,108,123,140,4
-3.0,1250,58.39,115,125,141,4
-3.0,1500,64.69,123,133,146,4
-3.0,1750,69.9,130,139,150,4
-3.0,2000,74.43,136,144,154,4
-3.0,2250,78.44,142,149,157,4
-3.0,2500,79.25,143,150,158,7
-3.0,2750,79.25,143,150,158,7
-3.0,3000,79.25,143,150,158,7
-3.0,3250,79.25,143,150,158,7
-3.0,3500,79.25,143,150,158,7
-2.0,1000,47.45,108,123,140,4
-2.0,1250,58.26,114,125,141,4
-2.0,1500,64.56,122,132,146,4
-2.0,1750,69.8,129,139,150,4
-2.0,2000,74.32,136,144,154,4
-2.0,2250,78.33,141,149,157,4
-2.0,2500,79.25,143,150,158,7
-2.0,2750,79.25,143,150,158,7
-2.0,3000,79.25,143,150,158,7
-2.0,3250,79.25,143,150,158,7
-2.0,3500,79.25,143,150,158,7
-1.0,1000,47.45,108,123,140,4
-1.0,1250,58.13,114,125,141,4
-1.0,1500,64.43,122,132,146,4
-1.0,1750,69.7,129,139,150,4
-1.0,2000,74.21,136,144,154,4
-1.0,2250,78.21,141,149,157,4
-1.0,2500,79.25,143,150,158,7
-1.0,2750,79.25,143,150,158,7
-1.0,3000,79.25,143,150,158,7
-1.0,3250,79.25,143,150,158,7
-1.0,3500,79.25,143,150,158,7
0.0,1000,47.44,108,123,140,4
0.0,1250,58.0,114,125,141,4
0.0,1500,64.3,122,132,146,4
0.0,1750,69.6,129,139,150,4
0.0,2000,74.1,136,144,154,4
0.0,2250,78.1,141,149,157,4
0.0,2500,79.25,143,150,158,7
0.0,2750,79.25,143,150,158,7
0.0,3000,79.25,143,150,158,7
0.0,3250,79.25,143,150,158,7
0.0,3500,79.25,143,150,158,7
1.0,1000,47.43,108,123,140,4
1.0,1250,57.89,114,125,141,4
1.0,1500,64.2,122,132,146,4
1.0,1750,69.49,129,139,150,4
1.0,2000,73.99,136,144,154,4
1.0,2250,77.99,141,149,157,4
1.0,2500,79.25,143,150,158,7
1.0,2750,79.25,143,150,158,7
1.0,3000,79.25,143,150,158,7
1.0,3250,79.25,143,150,158,7
1.0,3500,79.25,143,150,158,7
2.0,1000,47.43,108,123,140,4
2.0,1250,57.78,114,125,141,4
2.0,1500,64.1,122,132,146,4
2.0,1750,69.38,129,139,150,4
2.0,2000,73.88,136,144,154,4
2.0,2250,77.88,141,149,157,4
2.0,2500,79.25,143,150,158,7
2.0,2750,79.25,143,150,158,7
2.0,3000,79.25,143,150,158,7
2.0,3250,79.25,143,150,158,7
2.0,3500,79.25,143,150,158,7
3.0,1000,47.42,108,123,140,4
3.0,1250,57.67,113,125,141,4
3.0,1500,64.0,122,132,146,4
3.0,1750,69.27,129,138,150,4
3.0,2000,73.77,135,144,154,4
3.0,2250,77.77,140,148,157,4
3.0,2500,79.25,143,150,158,7
3.0,2750,79.25,143,150,158,7
3.0,3000,79.25,143,150,158,7
3.0,3250,79.25,143,150,158,7
3.0,3500,79.25,143,150,158,7
4.0,1000,47.42,108,123,140,4
4.0,1250,57.56,113,125,141,4
4.0,1500,63.9,122,132,146,4
4.0,1750,69.16,129,138,150,4
4.0,2000,73.66,135,144,154,4
4.0,2250,77.66,140,148,157,4
4.0,2500,79.25,143,150,158,7
4.0,2750,79.25,143,150,158,7
4.0,3000,79.25,143,150,158,7
4.0,3250,79.25,143,150,158,7
4.0,3500,79.25,143,150,158,7
5.0,1000,47.41,108,123,140,4
5.0,1250,57.45,113,125,141,4
5.0,1500,63.8,122,132,146,4
5.0,1750,69.05,128,138,150,4
5.0,2000,73.55,135,144,154,4
5.0,2250,77.55,140,148,156,4
5.0,2500,79.25,143,150,158,7
5.0,2750,79.25,143,150,158,7
5.0,3000,79.25,143,150,158,7
5.0,3250,79.25,143,150,158,7
5.0,3500,79.25,143,150,158,7
6.0,1000,47.4,108,123,140,4
6.0,1250,57.34,113,125,141,4
6.0,1500,63.7,121,131,145,4
6.0,1750,68.94,128,138,149,4
6.0,2000,73.44,135,143,153,4
6.0,2250,77.44,140,148,156,4
6.0,2500,79.25,143,150,158,7
6.0,2750,79.25,143,150,158,7
6.0,3000,79.25,143,150,158,7
6.0,3250,79.25,143,150,158,7
6.0,3500,79.25,143,150,158,7
7.0,1000,47.4,108,123,140,4
7.0,1250,57.23,113,125,141,4
7.0,1500,63.6,121,131,145,4
7.0,1750,68.83,128,138,149,4
7.0,2000,73.33,135,143,153,4
7.0,2250,77.33,140,148,156,4
7.0,2500,79.25,143,150,158,7
7.0,2750,79.25,143,150,158,7
7.0,3000,79.25,143,150,158,7
7.0,3250,79.25,143,150,158,7
7.0,3500,79.25,143,150,158,7
8.0,1000,47.39,108,123,140,4
8.0,1250,57.12,112,125,141,4
8.0,1500,63.5,121,131,145,4
8.0,1750,68.72,128,137,149,4
