OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
-10.0,1000,45.0,108,123,140,4
-10.0,1250,57.3,114,125,141,4
-10.0,1500,63.8,122,132,145,4
-10.0,1750,68.8,129,138,150,4
-10.0,2000,73.2,135,143,153,4
-10.0,2250,77.1,141,148,157,4
-10.0,2500,79.25,144,150,158,7
-10.0,2750,79.25,144,150,158,7
-10.0,3000,79.25,144,150,158,7
-10.0,3250,79.25,144,150,158,7
-10.0,3500,79.25,144,150,158,7
-9.0,1250,57.17,114,125,141,4
-9.0,1500,63.67,122,132,145,4
-9.0,1750,68.69,129,138,150,4
-9.0,2000,73.1,135,143,153,4
-9.0,2250,77.0,141,148,157,4
-9.0,2500,79.25,144,150,158,7
-9.0,2750,79.25,144,150,158,7
-9.0,3000,79.25,144,150,158,7
-9.0,3250,79.25,144,150,158,7
-9.0,3500,79.25,144,150,158,7
-8.0,1250,57.04,114,125,141,4
-8.0,1500,63.54,122,132,145,4
-8.0,1750,68.58,129,138,150,4
-8.0,2000,73.0,135,143,153,4
-8.0,2250,76.9,141,148,157,4
-8.0,2500,79.25,144,150,158,7
-8.0,2750,79.25,144,150,158,7
-8.0,3000,79.25,144,150,158,7
-8.0,3250,79.25,144,150,158,7
-8.0,3500,79.25,144,150,158,7
-7.0,1250,56.91,113,125,141,4
-7.0,1500,63.41,121,131,145,4
-7.0,1750,68.47,128,137,150,4
-7.0,2000,72.9,134,143,153,4
-7.0,2250,76.8,140,147,157,4
-7.0,2500,79.25,144,150,158,7
-7.0,2750,79.25,144,150,158,7
-7.0,3000,79.25,144,150,158,7
-7.0,3250,79.25,144,150,158,7
-7.0,3500,79.25,144,150,158,7
-6.0,1250,56.78,113,125,141,4
-6.0,1500,63.28,121,131,145,4
-6.0,1750,68.36,128,137,150,4
-6.0,2000,72.8,134,143,153,4
-6.0,2250,76.7,140,147,157,4
-6.0,2500,79.25,144,150,158,7
-6.0,2750,79.25,144,150,158,7
-6.0,3000,79.25,144,150,158,7
-6.0,3250,79.25,144,150,158,7
-6.0,3500,79.25,144,150,158,7
-5.0,1250,56.65,113,124,141,4
-5.0,1500,63.15,121,131,144,4
-5.0,1750,68.25,128,137,150,4
-5.0,2000,72.7,134,142,152,4
-5.0,2250,76.6,140,147,156,4
-5.0,2500,79.25,144,150,158,7
-5.0,2750,79.25,144,150,158,7
-5.0,3000,79.25,144,150,158,7
-5.0,3250,79.25,144,150,158,7
-5.0,3500,79.25,144,150,158,7
-4.0,1250,56.52,113,124,141,4
-4.0,1500,63.02,121,131,144,4
-4.0,1750,68.14,128,137,149,4
-4.0,2000,72.6,134,142,152,4
-4.0,2250,76.5,140,147,156,4
-4.0,2500,79.25,144,150,158,7
-4.0,2750,79.25,144,150,158,7
-4.0,3000,79.25,144,150,158,7
-4.0,3250,79.25,144,150,158,7
-4.0,3500,79.25,144,150,158,7
-3.0,1250,56.39,113,124,141,4
-3.0,1500,62.89,121,131,144,4
-3.0,1750,68.03,128,137,149,4
-3.0,2000,72.5,134,142,152,4
-3.0,2250,76.4,140,147,156,4
-3.0,2500,79.25,144,150,158,7
-3.0,2750,79.25,144,150,158,7
-3.0,3000,79.25,144,150,158,7
-3.0,3250,79.25,144,150,158,7
-3.0,3500,79.25,144,150,158,7
-2.0,1250,56.26,112,124,141,4
-2.0,1500,62.76,120,130,144,4
-2.0,1750,67.92,127,136,149,4
-2.0,2000,72.4,133,142,152,4
-2.0,2250,76.3,139,146,156,4
-2.0,2500,79.25,144,150,158,7
-2.0,2750,79.25,144,150,158,7
-2.0,3000,79.25,144,150,158,7
-2.0,3250,79.25,144,150,158,7
-2.0,3500,79.25,144,150,158,7
-1.0,1250,56.13,112,124,141,4
-1.0,1500,62.63,120,130,144,4
-1.0,1750,67.81,127,136,149,4
-1.0,2000,72.3,133,142,152,4
-1.0,2250,76.2,139,146,156,4
-1.0,2500,79.25,144,150,158,7
-1.0,2750,79.25,144,150,158,7
-1.0,3000,79.25,144,150,158,7
-1.0,3250,79.25,144,150,158,7
-1.0,3500,79.25,144,150,158,7
0.0,1250,56.0,112,124,141,4
0.0,1500,62.5,120,130,144,4
0.0,1750,67.7,127,136,149,4
0.0,2000,72.2,133,142,152,4
